lat,lon,temp,precip,name
8.967,-79.55,81.7,0.00,Albrook Afb/Balboa
30.371,-104.017,57.9,0.00,Marfa Municipal Airport
32.383,-86.35,65.1,0.00,Maxwell Afb Airport
32.5,-93.667,62.1,0.00,Barksdale Air Force Base
33.9,-117.25,64.9,0.00,March Air Reserve Base
35.283,62.35,54.7,0.00,Gyshgy
37.083,-76.36,54.8,0.00,Langley Afb Airport
37.833,65.2,62.2,0.00,Kerki Intl
37.987,58.361,63.5,0.00,Ashgabat
38.543,68.825,56.3,0.00,Dushanbe
38.847,-77.035,47.4,0.00,Ronald Reagan Washington Natl Ap
38.983,56.283,66.0,0.00,Gyzylarbat
39.467,-76.167,48.0,0.00,Aberdeen Pvng Grnd
39.595,47.196,59.0,0.00,Fuzuli
39.717,64.617,62.5,0.00,Buhara
39.833,-84.05,57.7,0.00,Wright-Patterson Afb Airport
40.196,-76.772,46.1,0.00,Harrisburg Intl
40.212,44.53,64.8,0.00,Yerevan-Arabkir
40.3,-88.15,42.9,0.00,Rantoul/Chanute Afb
40.35,49.833,63.0,0.00,Baku (Observatory)
40.717,46.417,62.5,0.00,Gandja
40.733,-73.6,43.1,0.00,Mitchel Field
41.258,69.281,58.2,0.00,Yuzhny / Tashkent Islam Karimov Intl
41.433,76.0,41.0,0.00,Naryn
41.61,41.6,54.0,0.00,Batumi
41.667,44.95,61.0,0.00,Tbilisi
41.833,43.383,49.7,0.00,Borzomi
42.267,42.633,58.8,0.00,Kutaisi
42.608,-82.818,48.4,0.00,Selfridge Air National Guard Base
42.867,41.133,56.5,0.00,Suhumi
42.95,59.817,54.7,0.00,Chimbaj
43.0,47.5,55.5,0.00,Mahachkala
43.033,44.683,53.5,0.00,Vladikavkaz
43.117,131.933,41.3,0.00,Vladivostok
43.233,76.933,48.0,0.00,Almaty
43.267,68.217,59.8,0.00,Turkestan
43.433,134.767,39.0,0.00,Margaritovo
43.567,-116.241,63.6,0.00,Boise Air Terminal/Gowen Fd Airport
44.05,43.033,51.8,0.00,Pjatigorsk
44.683,33.567,57.2,0.00,Sevastopol/Belbek
44.717,37.767,54.7,0.00,Novorossijsk
44.767,65.533,60.0,0.00,Kyzylorda
44.983,41.117,52.5,0.00,Armavir
45.033,39.15,57.2,0.00,Krasnodar
45.35,42.85,52.5,0.00,Svetlograd
45.596,-122.609,55.1,0.00,Portland International Airport
45.767,62.117,58.2,0.00,Kazaly
45.807,-108.542,48.6,0.00,Billings Logan International Airport
46.283,47.983,58.5,0.00,Astrahan'
46.427,30.676,54.7,0.00,Odesa Intl
46.633,32.567,55.8,0.00,Kherson
46.783,-100.757,39.9,0.00,Bismarck Municipal Airport
47.033,37.5,51.5,0.00,Mariupol'
47.117,51.917,57.7,0.00,Atyrau
47.2,73.35,49.0,0.00,Mointy
47.25,39.817,51.3,0.00,Rostov-Na-Donu
47.417,10.983,13.5,0.43,Zugspitze Mountain
47.633,43.15,56.0,0.00,Kotel'Nikovo
