name,lat,lon,pop,rank
Tokyo,35.687,139.749,35676000,0
New York,40.722,-73.996,19040000,0
Mexico City,19.444,-99.133,19028000,0
Mumbai,19.068,72.876,18978000,0
São Paulo,-23.557,-46.627,18845000,0
Shanghai,31.218,121.435,14987000,0
Kolkata,22.57,88.369,14787000,0
Los Angeles,34.049,-118.232,12500000,0
Cairo,30.052,31.248,11893000,0
Rio de Janeiro,-22.907,-43.212,11748000,0
Beijing,39.902,116.394,11106000,0
Moscow,55.754,37.614,10452000,0
Istanbul,41.018,28.974,10061000,0
Paris,48.858,2.353,9904000,0
Lagos,6.445,3.39,9466000,0
Jakarta,-6.172,106.827,9125000,0
London,51.502,-0.119,8567000,0
Bogota,4.598,-74.085,7772000,0
Hong Kong,22.307,114.183,7206000,0
Santiago,-33.44,-70.651,5720000,0
Singapore,1.295,103.854,5183700,0
Sydney,-33.871,151.213,4630000,0
Riyadh,24.634,46.72,4465000,0
"Washington,  D.C.",38.901,-77.011,4338000,0
Rome,41.898,12.481,3339000,0
Cape Town,-33.918,18.433,3215000,0
Nairobi,-1.281,36.815,3010000,0
Buenos Aires,-34.611,-58.433,12795000,1
Ōsaka,34.691,135.504,11294000,1
Manila,14.606,120.98,11100000,1
Seoul,37.568,126.998,9796000,1
Chicago,41.848,-87.635,8990000,1
Lima,-12.046,-77.052,8012000,1
Tehran,35.674,51.422,7873000,1
Kinshasa,-4.328,15.313,7843000,1
Taipei,25.036,121.568,6900273,1
Bengaluru,12.972,77.558,6787000,1
Bangkok,13.752,100.515,6704000,1
Miami,25.79,-80.226,5585000,1
Madrid,40.402,-3.685,5567000,1
Toronto,43.665,-79.389,5213000,1
Baghdad,33.341,44.392,5054000,1
Atlanta,33.739,-84.368,4506000,1
Houston,29.741,-95.348,4459000,1
Melbourne,-37.818,144.973,4170000,1
Chengdu,30.672,104.068,4123000,1
Monterrey,25.672,-100.332,3712000,1
Ürümqi,43.807,87.573,3575000,1
San Francisco,37.784,-122.4,3450000,1
Johannesburg,-26.168,28.028,3435000,1
Berlin,52.524,13.4,3406000,1
Kabul,34.519,69.181,3277000,1
Athens,37.985,23.731,3242000,1
Casablanca,33.602,-7.618,3181000,1
Addis Ababa,9.035,38.698,3100000,1
Caracas,10.503,-66.919,2985000,1
