name,lat,lon
Western Australia,-25.467,122.18
Northern Territory,-19.476,133.375
South Australia,-30.083,135.827
Queensland,-22.574,144.539
Tasmania,-42.017,146.595
Victoria,-36.855,144.307
Australian Capital Territory,-35.499,149.004
Jervis Bay Territory,-35.154,150.673
New South Wales,-32.178,147.026
Acre,-9.298,-70.473
Rondônia,-10.917,-62.845
Roraima,2.066,-61.405
Amazonas,-4.184,-64.718
Pará,-4.182,-53.269
Mato Grosso do Sul,-20.332,-54.846
Amapá,1.456,-51.98
Mato Grosso,-12.962,-55.926
Paraná,-24.633,-51.633
Distrito Federal,-15.771,-47.787
Goiás,-16.022,-49.605
Tocantins,-10.145,-48.325
São Paulo,-22.262,-48.738
Maranhão,-5.107,-45.295
Rio de Janeiro,-22.189,-42.665
Piauí,-7.41,-42.988
Minas Gerais,-18.451,-44.676
Espírito Santo,-19.567,-40.667
Bahia,-12.475,-41.705
Ceará,-5.098,-39.626
Sergipe,-10.577,-37.445
Alagoas,-9.516,-36.619
Rio Grande do Norte,-5.839,-36.682
Pernambuco,-8.332,-37.999
Paraíba,-7.118,-36.826
Santa Catarina,-27.249,-50.501
Rio Grande do Sul,-29.736,-53.32
Alberta,55.168,-114.51
British Columbia,54.963,-124.608
Manitoba,54.92,-97.439
New Brunswick,46.632,-66.388
Newfoundland and Labrador,54.271,-61.954
Nova Scotia,44.913,-63.948
Northwest Territories,64.371,-119.626
Nunavut,65.913,-98.595
Ontario,50.066,-85.833
Prince Edward Island,46.4,-63.24
Québec,53.74,-71.934
Saskatchewan,54.419,-105.899
Yukon,63.633,-135.509
Alaska,64.579,-152.729
Alabama,32.795,-86.831
Arkansas,34.904,-92.444
Arizona,34.292,-111.66
California,37.249,-119.603
Colorado,39.0,-105.533
Connecticut,41.627,-72.725
District of Columbia,38.918,-77.019
Delaware,38.995,-75.505
Florida,28.67,-82.5
Georgia,32.66,-83.458
Hawaii,19.612,-155.51
Iowa,42.088,-93.495
Idaho,44.393,-114.652
Illinois,40.125,-89.153
Indiana,39.918,-86.283
Kansas,38.485,-98.369
Kentucky,37.532,-85.285
Louisiana,31.087,-92.018
Massachusetts,42.273,-71.822
Maryland,39.068,-76.804
Maine,45.404,-69.243
Michigan,44.875,-85.74
Minnesota,46.344,-94.198
Missouri,38.384,-92.492
Mississippi,32.765,-89.671
Montana,47.032,-109.625
North Carolina,35.558,-79.414
North Dakota,47.445,-100.46
Nebraska,41.531,-99.791
New Hampshire,43.688,-71.579
New Jersey,40.199,-74.666
New Mexico,34.422,-106.111
Nevada,39.356,-116.652
New York,43.05,-75.759
Ohio,40.419,-82.71
Oklahoma,35.59,-97.512
Oregon,43.941,-120.545
